index,state,cat_1_count,cat_2_count,cat_3_count,cat_4_count,cat_5_count,hurricane_count,tropical_storm_count,extratropical_system_count,tropical_depression_count,low_count,subtropical_depression_count,subtropical_storm_count,dissipating_storm_count,county
Calhoun,Texas,2,3,1,0,0,6,2,0,5,0,0,0,0,Calhoun
Refugio,Texas,3,1,2,0,0,6,5,0,1,0,0,0,0,Refugio
Bee,Texas,1,0,0,0,0,1,8,0,2,0,0,0,0,Bee
Live Oak,Texas,0,0,0,0,0,0,4,0,3,0,0,0,0,Live Oak
McMullen,Texas,0,0,0,0,0,1,7,0,7,0,0,0,0,McMullen
Frio,Texas,0,0,0,0,0,0,3,0,5,4,0,0,0,Frio
Uvalde,Texas,0,0,0,0,0,0,2,0,0,0,0,0,0,Uvalde
Real,Texas,0,0,0,0,0,0,2,0,0,0,0,0,0,Real
Edwards,Texas,0,0,0,0,0,0,3,0,3,0,0,0,0,Edwards
Kimble,Texas,0,0,0,0,0,0,2,0,0,0,0,0,0,Kimble
Schleicher,Texas,0,0,0,0,0,0,1,0,0,0,0,0,0,Schleicher
Kenedy,Texas,6,3,0,0,0,10,7,0,6,0,0,0,0,Kenedy
Cameron,Texas,3,3,1,1,0,9,4,0,2,0,0,0,0,Cameron
Hidalgo,Texas,1,2,0,0,0,4,6,0,0,0,0,0,0,Hidalgo
Starr,Texas,1,0,0,0,0,1,3,0,0,0,0,0,0,Starr
Brazoria,Texas,5,5,3,1,0,15,12,0,11,0,0,0,0,Brazoria
Harris,Texas,6,0,0,0,0,8,19,5,12,0,0,0,0,Harris
Montgomery,Texas,0,1,0,0,0,1,12,1,8,0,0,0,0,Montgomery
Hardin,Texas,1,0,0,0,0,2,8,3,0,0,0,0,0,Hardin
Jasper,Texas,2,0,0,0,0,4,4,3,3,0,0,0,0,Jasper
Kleberg,Texas,2,0,0,0,0,3,5,0,3,0,0,0,0,Kleberg
Nueces,Texas,1,0,0,0,0,1,4,0,1,0,0,0,0,Nueces
Jim Wells,Texas,1,0,0,0,0,1,2,0,1,0,0,0,0,Jim Wells
Chambers,Texas,1,1,0,0,0,3,5,0,4,0,0,0,0,Chambers
Jefferson,Texas,5,3,0,0,0,9,6,0,6,0,0,0,0,Jefferson
Newton,Texas,1,0,0,0,0,1,5,4,2,0,0,0,0,Newton
San Augustine,Texas,1,0,0,0,0,1,3,0,1,0,0,0,0,San Augustine
Shelby,Texas,0,0,0,0,0,1,2,0,0,0,0,0,0,Shelby
Panola,Texas,0,0,0,0,0,0,4,1,3,0,0,0,0,Panola
Harrison,Texas,0,0,0,0,0,0,2,4,3,0,0,0,0,Harrison
Victoria,Texas,3,1,1,0,0,5,6,0,1,0,0,0,0,Victoria
Gonzales,Texas,0,0,0,0,0,0,7,0,5,0,0,0,0,Gonzales
Guadalupe,Texas,0,0,0,0,0,0,1,0,0,0,0,0,0,Guadalupe
Burnet,Texas,0,0,0,0,0,0,1,0,1,0,0,0,0,Burnet
San Saba,Texas,0,0,0,0,0,0,0,0,0,0,0,0,0,San Saba
Aransas,Texas,0,1,0,0,0,1,1,0,0,0,0,0,0,Aransas
Zavala,Texas,0,0,0,0,0,0,2,0,3,2,0,0,0,Zavala
Kinney,Texas,0,0,0,0,0,0,0,0,2,0,0,0,0,Kinney
Val Verde,Texas,0,0,0,0,0,0,2,0,2,0,0,0,0,Val Verde
Terrell,Texas,0,0,0,0,0,0,1,0,4,0,0,0,0,Terrell
Pecos,Texas,0,0,0,0,0,0,1,0,0,0,0,0,0,Pecos
Reeves,Texas,0,0,0,0,0,0,0,0,0,0,0,0,0,Reeves
Walker,Texas,0,0,0,0,0,1,3,1,4,0,0,0,0,Walker
Houston,Texas,0,0,0,0,0,0,2,2,6,0,0,0,0,Houston
Anderson,Texas,0,0,0,0,0,0,2,1,1,0,0,0,0,Anderson
Cherokee,Texas,0,0,0,0,0,0,1,1,7,0,0,0,0,Cherokee
Matagorda,Texas,3,1,1,0,0,5,11,0,7,0,0,0,0,Matagorda
Galveston,Texas,4,1,0,0,0,5,8,0,1,0,0,0,0,Galveston
Liberty,Texas,0,0,0,0,0,1,14,2,3,0,0,0,0,Liberty
Polk,Texas,0,0,0,0,0,0,3,0,9,0,0,0,0,Polk
Angelina,Texas,0,0,0,0,0,0,7,1,3,0,0,0,0,Angelina
Sabine,Texas,0,0,0,0,0,0,0,0,3,0,0,0,0,Sabine
DeWitt,Texas,0,0,0,0,0,1,9,0,3,0,0,0,0,DeWitt
Brooks,Texas,1,0,0,0,0,1,6,0,7,0,0,0,0,Brooks
Duval,Texas,4,0,0,0,0,5,5,0,5,0,0,0,0,Duval
Atascosa,Texas,0,0,0,0,0,0,1,0,8,0,0,0,0,Atascosa
Bexar,Texas,2,0,0,0,0,2,2,0,5,0,0,0,0,Bexar
Kendall,Texas,0,0,0,0,0,0,2,0,1,0,0,0,0,Kendall
Blanco,Texas,0,0,0,0,0,0,0,0,1,0,0,0,0,Blanco
Llano,Texas,0,0,0,0,0,0,0,0,1,0,0,0,0,Llano
Mills,Texas,0,0,0,0,0,0,0,0,1,0,0,0,0,Mills
Hamilton,Texas,0,0,0,0,0,0,0,0,1,1,0,0,0,Hamilton
Erath,Texas,0,0,0,0,0,0,0,0,3,1,0,0,0,Erath
Willacy,Texas,3,2,0,0,0,5,2,0,0,0,0,0,0,Willacy
Jim Hogg,Texas,2,0,0,0,0,2,5,0,4,0,0,0,0,Jim Hogg
Webb,Texas,2,0,0,0,0,2,5,0,6,3,0,0,0,Webb
Jackson,Texas,1,0,0,0,0,1,3,0,0,0,0,0,0,Jackson
Lavaca,Texas,1,0,0,0,0,2,3,0,4,0,0,0,0,Lavaca
Colorado,Texas,1,0,0,0,0,1,2,0,1,0,0,0,0,Colorado
Waller,Texas,0,1,0,0,0,1,5,0,6,0,0,0,0,Waller
Wharton,Texas,4,0,0,0,0,4,3,0,5,0,0,0,0,Wharton
Zapata,Texas,0,0,0,0,0,0,7,0,1,2,0,0,0,Zapata
Goliad,Texas,2,1,0,0,0,5,2,0,3,0,0,0,0,Goliad
Karnes,Texas,0,1,0,0,0,2,0,0,8,0,0,0,0,Karnes
Wilson,Texas,1,0,0,0,0,1,0,0,6,0,0,0,0,Wilson
Comal,Texas,0,0,0,0,0,0,0,0,2,0,0,0,0,Comal
Gillespie,Texas,0,0,0,0,0,0,0,0,2,0,0,0,0,Gillespie
Bastrop,Texas,0,0,0,0,0,1,3,0,1,0,0,0,0,Bastrop
Lee,Texas,0,0,0,0,0,0,0,0,2,0,0,0,0,Lee
Orange,Texas,0,0,0,0,0,0,2,0,0,0,0,0,0,Orange
Tyler,Texas,0,0,0,0,0,0,6,0,5,0,0,0,0,Tyler
Trinity,Texas,1,0,0,0,0,1,3,0,8,0,0,0,0,Trinity
Menard,Texas,0,0,0,0,0,0,1,0,0,0,0,0,0,Menard
Tom Green,Texas,0,0,0,0,0,0,1,0,0,0,0,0,0,Tom Green
Coke,Texas,0,0,0,0,0,0,1,0,0,0,0,0,0,Coke
Mitchell,Texas,0,0,0,0,0,0,1,0,0,0,0,0,0,Mitchell
San Patricio,Texas,3,0,0,0,0,3,4,0,1,0,0,0,0,San Patricio
Bell,Texas,0,0,0,0,0,0,2,0,4,0,0,0,0,Bell
Bosque,Texas,0,0,0,0,0,0,1,0,10,1,0,0,0,Bosque
Tarrant,Texas,0,0,0,0,0,0,1,0,1,0,0,0,0,Tarrant
Cooke,Texas,0,0,0,0,0,0,1,0,1,0,0,0,0,Cooke
Austin,Texas,0,0,0,0,0,2,2,0,1,0,0,0,0,Austin
Washington,Texas,0,0,0,0,0,0,4,0,5,0,0,0,0,Washington
Burleson,Texas,1,0,0,0,0,1,4,0,5,0,0,0,0,Burleson
Milam,Texas,1,0,0,0,0,1,3,0,6,0,0,0,0,Milam
Falls,Texas,0,0,0,0,0,0,2,0,6,1,0,0,0,Falls
Fort Bend,Texas,3,0,0,0,0,3,8,2,10,0,0,0,0,Fort Bend
Medina,Texas,0,0,0,0,0,0,0,0,0,0,0,0,0,Medina
Brazos,Texas,0,0,0,0,0,0,3,0,2,0,0,0,0,Brazos
McLennan,Texas,0,0,0,0,0,1,1,0,9,0,0,0,0,McLennan
Johnson,Texas,0,0,0,0,0,0,2,0,5,0,0,0,0,Johnson
Parker,Texas,0,0,0,0,0,0,1,0,5,0,0,0,0,Parker
Wise,Texas,0,0,0,0,0,0,1,0,4,0,0,0,0,Wise
Williamson,Texas,0,0,0,0,0,0,1,0,0,0,0,0,0,Williamson
Ellis,Texas,0,0,0,0,0,0,1,0,3,0,0,0,0,Ellis
Dallas,Texas,0,0,0,0,0,0,1,0,0,0,0,0,0,Dallas
Fannin,Texas,0,0,0,0,0,0,1,0,3,0,0,0,0,Fannin
La Salle,Texas,0,0,0,0,0,0,4,0,1,4,0,0,0,La Salle
Dimmit,Texas,0,0,0,0,0,0,5,0,2,0,0,0,0,Dimmit
Robertson,Texas,0,0,0,0,0,0,6,0,4,0,0,0,0,Robertson
Freestone,Texas,0,0,0,0,0,0,3,0,1,0,0,0,0,Freestone
Henderson,Texas,0,0,0,0,0,0,0,0,2,0,0,0,0,Henderson
Smith,Texas,0,0,0,0,0,0,1,2,3,0,0,0,0,Smith
Wood,Texas,0,0,0,0,0,0,1,0,1,0,0,0,0,Wood
Titus,Texas,0,0,0,0,0,0,0,0,1,0,0,0,0,Titus
Bowie,Texas,0,0,0,0,0,0,0,0,4,0,0,0,0,Bowie
