county,coordinates,state
Bexar,"(29.4200763, -98.5721016)",Texas
Fort Bend,"(29.5692614, -95.81428849999999)",Texas
Harris,"(29.7751825, -95.3102505)",Texas
Collin,"(33.1795213, -96.49297969999999)",Texas
Dallas,"(32.8024682, -96.83509989999999)",Texas
Montgomery,"(30.3213482, -95.4777811)",Texas
Tarrant,"(32.7732044, -97.35165579999999)",Texas
Gregg,"(32.4892547, -94.8520636)",Texas
Bell,"(31.134411, -97.5247243)",Texas
El Paso,"(31.8039824, -106.2051484)",Texas
Galveston,"(29.37634989999999, -94.8520636)",Texas
Smith,"(32.3352505, -95.3102505)",Texas
Travis,"(30.2097015, -97.69822719999999)",Texas
Brazoria,"(29.2131857, -95.4777811)",Texas
Hays,"(30.0537607, -98.0028892)",Texas
Denton,"(33.1418611, -97.179026)",Texas
Bowie,"(33.4473287, -94.479976)",Texas
Matagorda,"(28.8204837, -95.9832577)",Texas
Brazos,"(30.6504141, -96.3226072)",Texas
Ellis,"(32.2619765, -96.83509989999999)",Texas
Lubbock,"(33.6753624, -101.7979613)",Texas
Lavaca,"(29.33590539999999, -96.83509989999999)",Texas
McLennan,"(31.5182285, -97.179026)",Texas
Medina,"(29.2987871, -99.0128926)",Texas
Rusk,"(32.1741887, -94.81059549999999)",Texas
Webb,"(27.8174487, -99.0128926)",Texas
Wichita,"(33.9309651, -98.7481167)",Texas
Williamson,"(30.7591685, -97.69822719999999)",Texas
Cameron,"(26.1284971, -97.5247243)",Texas
Crane,"(31.4654966, -102.5298028)",Texas
DeWitt,"(29.1235194, -97.35165579999999)",Texas
Johnson,"(32.4133566, -97.35165579999999)",Texas
Van Zandt,"(32.4936974, -95.81428849999999)",Texas
Brown,"(31.7705105, -98.92453429999999)",Texas
Cass,"(33.09443420000001, -94.315422)",Texas
Fannin,"(33.5544296, -96.15269850000001)",Texas
Hockley,"(33.6212592, -102.3463875)",Texas
Upshur,"(32.7099747, -94.976654)",Texas
Bastrop,"(30.0458708, -97.35165579999999)",Texas
Castro,"(34.4985047, -102.3463875)",Texas
Deaf Smith,"(35.0017354, -102.5298028)",Texas
