state,county,cat_1_count,cat_2_count,cat_3_count,cat_4_count,cat_5_count,hurricane_count,tropical_storm_count,extratropical_system_count,tropical_depression_count,low_count,subtropical_depression_count,dissipating_storm_count,cases,previous_cases,2019_population,change_in_case_ratio
Texas,Calhoun,2,3,1,0,0,6,2,0,5,0,0,0,546.0,493.0,21290.0,249.0
Texas,Refugio,3,1,2,0,0,6,5,0,1,0,0,0,234.0,214.0,6948.0,287.9000000000001
Texas,Bee,1,0,0,0,0,1,8,0,2,0,0,0,1246.0,669.0,32565.0,1771.7999999999997
Texas,Live Oak,0,0,0,0,0,0,4,0,3,0,0,0,230.0,207.0,12207.0,188.5
Texas,McMullen,0,0,0,0,0,1,7,0,7,0,0,0,9.0,8.0,743.0,134.5999999999999
Texas,Frio,0,0,0,0,0,0,3,0,5,4,0,0,514.0,476.0,20306.0,187.20000000000027
Texas,Uvalde,0,0,0,0,0,0,2,0,0,0,0,0,555.0,501.0,26741.0,202.0
Texas,Real,0,0,0,0,0,0,2,0,0,0,0,0,88.0,77.0,3452.0,318.5999999999999
Texas,Edwards,0,0,0,0,0,0,3,0,3,0,0,0,28.0,25.0,1932.0,155.29999999999995
Texas,Kimble,0,0,0,0,0,0,2,0,0,0,0,0,14.0,13.0,4337.0,23.100000000000023
Texas,Schleicher,0,0,0,0,0,0,1,0,0,0,0,0,36.0,35.0,2793.0,35.80000000000018
Texas,Kenedy,6,3,0,0,0,10,7,0,6,0,0,0,6.0,6.0,404.0,0.0
Texas,Cameron,3,3,1,1,0,9,4,0,2,0,0,0,17069.0,15118.0,423163.0,461.0999999999999
Texas,Hidalgo,1,2,0,0,0,4,6,0,0,0,0,0,20371.0,18189.0,868707.0,251.19999999999982
Texas,Starr,1,0,0,0,0,1,3,0,0,0,0,0,2501.0,2262.0,64633.0,369.6999999999998
Texas,Brazoria,5,5,3,1,0,15,12,0,11,0,0,0,7591.0,6732.0,374264.0,229.5
Texas,Harris,6,0,0,0,0,8,19,5,12,0,0,0,87505.0,79543.0,4713325.0,168.9000000000001
Texas,Montgomery,0,1,0,0,0,1,12,1,8,0,0,0,6776.0,6397.0,607391.0,62.399999999999864
Texas,Hardin,1,0,0,0,0,2,8,3,0,0,0,0,973.0,859.0,57602.0,197.9000000000001
Texas,Jasper,2,0,0,0,0,4,4,3,3,0,0,0,332.0,301.0,35529.0,87.19999999999993
Texas,Kleberg,2,0,0,0,0,3,5,0,3,0,0,0,451.0,375.0,30680.0,247.70000000000005
Texas,Nueces,1,0,0,0,0,1,4,0,1,0,0,0,15731.0,13062.0,362294.0,736.7000000000003
Texas,Jim Wells,1,0,0,0,0,1,2,0,1,0,0,0,777.0,637.0,40482.0,345.9000000000001
Texas,Chambers,1,1,0,0,0,3,5,0,4,0,0,0,993.0,924.0,43837.0,157.39999999999964
Texas,Jefferson,5,3,0,0,0,9,6,0,6,0,0,0,5977.0,5609.0,251565.0,146.30000000000018
