date_x,county,state,fips,cases,deaths,2019_population,cases_per_100000,date_y,previous_cases,previous_cases_per_100000,change_in_cases,change_in_case_ratio
2020-08-11,Autauga,Alabama,1001.0,1215,23,55869.0,2174.7,2020-08-04,1073.0,1920.6,142.0,254.0999999999999
2020-08-11,Baldwin,Alabama,1003.0,3736,32,223234.0,1673.6,2020-08-04,3320.0,1487.2,416.0,186.39999999999986
2020-08-11,Barbour,Alabama,1005.0,643,6,24686.0,2604.7,2020-08-04,614.0,2487.2,29.0,117.5
2020-08-11,Bibb,Alabama,1007.0,455,6,22394.0,2031.8,2020-08-04,389.0,1737.1,66.0,294.70000000000005
2020-08-11,Blount,Alabama,1009.0,958,5,57826.0,1656.7,2020-08-04,836.0,1445.7,122.0,211.0
2020-08-11,Bullock,Alabama,1011.0,489,12,10101.0,4841.1,2020-08-04,449.0,4445.1,40.0,396.0
2020-08-11,Butler,Alabama,1013.0,785,37,19448.0,4036.4,2020-08-04,766.0,3938.7,19.0,97.70000000000027
2020-08-11,Calhoun,Alabama,1015.0,1914,19,113605.0,1684.8,2020-08-04,1646.0,1448.9,268.0,235.89999999999986
2020-08-11,Chambers,Alabama,1017.0,916,38,33254.0,2754.6,2020-08-04,882.0,2652.3,34.0,102.29999999999973
2020-08-11,Cherokee,Alabama,1019.0,307,9,26196.0,1171.9,2020-08-04,269.0,1026.9,38.0,145.0
2020-08-11,Chilton,Alabama,1021.0,870,12,44428.0,1958.2,2020-08-04,768.0,1728.6,102.0,229.60000000000014
2020-08-11,Choctaw,Alabama,1023.0,294,12,12589.0,2335.4,2020-08-04,281.0,2232.1,13.0,103.30000000000018
2020-08-11,Clarke,Alabama,1025.0,856,10,23622.0,3623.7,2020-08-04,509.0,2154.8,347.0,1468.8999999999996
2020-08-11,Clay,Alabama,1027.0,274,5,13235.0,2070.3,2020-08-04,226.0,1707.6,48.0,362.7000000000003
2020-08-11,Cleburne,Alabama,1029.0,134,1,14910.0,898.7,2020-08-04,122.0,818.2,12.0,80.5
2020-08-11,Coffee,Alabama,1031.0,815,6,52342.0,1557.1,2020-08-04,742.0,1417.6,73.0,139.5
2020-08-11,Colbert,Alabama,1033.0,1242,17,55241.0,2248.3,2020-08-04,1125.0,2036.5,117.0,211.80000000000018
2020-08-11,Conecuh,Alabama,1035.0,421,10,12067.0,3488.9,2020-08-04,387.0,3207.1,34.0,281.8000000000002
2020-08-11,Coosa,Alabama,1037.0,120,3,10663.0,1125.4,2020-08-04,100.0,937.8,20.0,187.60000000000014
2020-08-11,Covington,Alabama,1039.0,889,22,37049.0,2399.5,2020-08-04,830.0,2240.3,59.0,159.19999999999982
