state,county,cat_1_count,cat_2_count,cat_3_count,cat_4_count,cat_5_count,hurricane_count,tropical_storm_count,extratropical_system_count,tropical_depression_count,low_count,subtropical_depression_count,dissipating_storm_count,current_cases,current_deaths,previous_cases,previous_deaths,2019_population,change_in_case_ratio,change_in_deaths_ratio,storm_composite,km_cluster,dbs_clusters,latitude,longitude,coordinates
Texas,Calhoun,2,3,1,0,0,6,2,0,5,0,0,0,546.0,5.0,493.0,4.0,21290.0,249.0,4.697040864255519,13,1,0,28.4169365,-96.663812,"(28.4169365, -96.663812)"
Texas,Refugio,3,1,2,0,0,6,5,0,1,0,0,0,234.0,4.0,214.0,0.0,6948.0,287.9000000000001,57.57052389176742,14,1,0,28.3465339,-97.1359377,"(28.3465339, -97.1359377)"
Texas,Bee,1,0,0,0,0,1,8,0,2,0,0,0,1246.0,11.0,669.0,9.0,32565.0,1771.7999999999995,6.141563027790572,11,2,1,28.3624206,-97.69822719999999,"(28.3624206, -97.69822719999999)"
Texas,Live Oak,0,0,0,0,0,0,4,0,3,0,0,0,230.0,4.0,207.0,2.0,12207.0,188.5,16.384041943147373,7,1,0,28.342294,-98.04651849999999,"(28.342294, -98.04651849999999)"
Texas,McMullen,0,0,0,0,0,1,7,0,7,0,0,0,9.0,0.0,8.0,0.0,743.0,134.5999999999999,0.0,14,1,0,28.3102323,-98.5721016,"(28.3102323, -98.5721016)"
Texas,Frio,0,0,0,0,0,0,3,0,5,4,0,0,514.0,5.0,476.0,5.0,20306.0,187.20000000000027,0.0,8,1,0,28.831355,-99.1013498,"(28.831355, -99.1013498)"
Texas,Uvalde,0,0,0,0,0,0,2,0,0,0,0,0,555.0,10.0,501.0,7.0,26741.0,202.0,11.218727796267903,2,0,0,29.3342663,-99.8124935,"(29.3342663, -99.8124935)"
Texas,Real,0,0,0,0,0,0,2,0,0,0,0,0,88.0,1.0,77.0,0.0,3452.0,318.5999999999999,28.968713789107763,2,0,0,29.8851459,-99.8124935,"(29.8851459, -99.8124935)"
Texas,Edwards,0,0,0,0,0,0,3,0,3,0,0,0,28.0,0.0,25.0,0.0,1932.0,155.29999999999995,0.0,6,3,0,29.9282955,-100.439656,"(29.9282955, -100.439656)"
Texas,Kimble,0,0,0,0,0,0,2,0,0,0,0,0,14.0,1.0,13.0,0.0,4337.0,23.100000000000023,23.057412958266085,2,3,0,30.4338473,-99.8124935,"(30.4338473, -99.8124935)"
Texas,Schleicher,0,0,0,0,0,0,1,0,0,0,0,0,36.0,1.0,35.0,1.0,2793.0,35.80000000000018,0.0,1,3,0,30.9234947,-100.5296115,"(30.9234947, -100.5296115)"
Texas,Kenedy,6,3,0,0,0,10,7,0,6,0,0,0,6.0,1.0,6.0,1.0,404.0,0.0,0.0,22,1,0,26.8697147,-97.69822719999999,"(26.8697147, -97.69822719999999)"
Texas,Cameron,3,3,1,1,0,9,4,0,2,0,0,0,17069.0,454.0,15118.0,383.0,423163.0,461.09999999999985,16.778404539149218,14,1,0,26.1284971,-97.5247243,"(26.1284971, -97.5247243)"
Texas,Hidalgo,1,2,0,0,0,4,6,0,0,0,0,0,20371.0,849.0,18189.0,727.0,868707.0,251.19999999999985,14.043860588207531,9,1,0,26.4656319,-98.2212979,"(26.4656319, -98.2212979)"
Texas,Starr,1,0,0,0,0,1,3,0,0,0,0,0,2501.0,73.0,2262.0,52.0,64633.0,369.6999999999999,32.49114229573128,4,0,0,26.6215167,-98.7481167,"(26.6215167, -98.7481167)"
Texas,Brazoria,5,5,3,1,0,15,12,0,11,0,0,0,7591.0,96.0,6732.0,78.0,374264.0,229.5,4.809439326250989,43,4,0,29.2131857,-95.4777811,"(29.2131857, -95.4777811)"
Texas,Harris,6,0,0,0,0,8,19,5,12,0,0,0,87505.0,1616.0,79543.0,1367.0,4713325.0,168.9000000000001,5.282894771737574,37,4,0,29.7751825,-95.3102505,"(29.7751825, -95.3102505)"
Texas,Montgomery,0,1,0,0,0,1,12,1,8,0,0,0,6776.0,94.0,6397.0,73.0,607391.0,62.39999999999986,3.45741046541684,21,1,0,30.3213482,-95.4777811,"(30.3213482, -95.4777811)"
Texas,Hardin,1,0,0,0,0,2,8,3,0,0,0,0,973.0,15.0,859.0,11.0,57602.0,197.90000000000006,6.944203326273393,9,1,0,30.364764,-94.315422,"(30.364764, -94.315422)"
Texas,Jasper,2,0,0,0,0,4,4,3,3,0,0,0,332.0,11.0,301.0,5.0,35529.0,87.19999999999995,16.88761293591151,9,1,0,30.9263644,-93.9878427,"(30.9263644, -93.9878427)"
Texas,Kleberg,2,0,0,0,0,3,5,0,3,0,0,0,451.0,8.0,375.0,6.0,30680.0,247.70000000000005,6.51890482398957,10,1,0,27.4308339,-97.69822719999999,"(27.4308339, -97.69822719999999)"
Texas,Nueces,1,0,0,0,0,1,4,0,1,0,0,0,15731.0,249.0,13062.0,212.0,362294.0,736.7000000000003,10.212700182724527,6,0,0,27.7693351,-97.4814163,"(27.7693351, -97.4814163)"
Texas,Jim Wells,1,0,0,0,0,1,2,0,1,0,0,0,777.0,16.0,637.0,11.0,40482.0,345.90000000000015,12.351168420532584,4,0,0,27.7841718,-98.04651849999999,"(27.7841718, -98.04651849999999)"
Texas,Chambers,1,1,0,0,0,3,5,0,4,0,0,0,993.0,6.0,924.0,6.0,43837.0,157.3999999999996,0.0,11,1,0,29.7524956,-94.6863782,"(29.7524956, -94.6863782)"
Texas,Jefferson,5,3,0,0,0,9,6,0,6,0,0,0,5977.0,84.0,5609.0,73.0,251565.0,146.30000000000018,4.37262735277165,20,1,0,29.8165398,-94.15137639999999,"(29.8165398, -94.15137639999999)"
Texas,Newton,1,0,0,0,0,1,5,4,2,0,0,0,116.0,4.0,89.0,4.0,13595.0,198.59999999999994,0.0,8,1,0,30.9359604,-93.66232389999999,"(30.9359604, -93.66232389999999)"
Texas,San Augustine,1,0,0,0,0,1,3,0,1,0,0,0,177.0,12.0,157.0,12.0,8237.0,242.80000000000015,0.0,5,0,0,31.4699363,-94.15137639999999,"(31.4699363, -94.15137639999999)"
Texas,Shelby,0,0,0,0,0,1,2,0,0,0,0,0,405.0,18.0,383.0,17.0,25274.0,87.0,3.9566352773601325,2,3,0,31.8343021,-94.15137639999999,"(31.8343021, -94.15137639999999)"
Texas,Panola,0,0,0,0,0,0,4,1,3,0,0,0,297.0,18.0,271.0,17.0,23194.0,112.09999999999992,4.311459860308701,7,1,0,32.1920035,-94.315422,"(32.1920035, -94.315422)"
Texas,Harrison,0,0,0,0,0,0,2,4,3,0,0,0,713.0,35.0,635.0,35.0,66553.0,117.19999999999992,0.0,5,3,0,32.5539228,-94.315422,"(32.5539228, -94.315422)"
Texas,Victoria,3,1,1,0,0,5,6,0,1,0,0,0,3549.0,52.0,3397.0,41.0,92084.0,165.0999999999999,11.945614873376483,12,1,0,28.7712909,-97.0068393,"(28.7712909, -97.0068393)"
Texas,Gonzales,0,0,0,0,0,0,7,0,5,0,0,0,684.0,10.0,631.0,8.0,20837.0,254.29999999999973,9.598310697317272,12,1,0,29.4834878,-97.5247243,"(29.4834878, -97.5247243)"
Texas,Guadalupe,0,0,0,0,0,0,1,0,0,0,0,0,1696.0,56.0,1610.0,45.0,166847.0,51.5,6.592866518427062,1,3,0,29.6477307,-97.87216,"(29.6477307, -97.87216)"
Texas,Burnet,0,0,0,0,0,0,1,0,1,0,0,0,567.0,9.0,544.0,7.0,48155.0,47.700000000000045,4.153255113695359,2,3,0,30.7270349,-98.2212979,"(30.7270349, -98.2212979)"
Texas,San Saba,0,0,0,0,0,0,0,0,0,0,0,0,24.0,0.0,22.0,0.0,6055.0,33.099999999999966,0.0,0,3,0,31.238909,-98.7481167,"(31.238909, -98.7481167)"
Texas,Aransas,0,1,0,0,0,1,1,0,0,0,0,0,182.0,15.0,158.0,12.0,23510.0,102.0,12.760527435133985,2,3,0,28.0761262,-96.9638624,"(28.0761262, -96.9638624)"
Texas,Zavala,0,0,0,0,0,0,2,0,3,2,0,0,268.0,9.0,249.0,5.0,11840.0,160.5,33.78378378378378,5,3,0,28.8801264,-99.72326729999999,"(28.8801264, -99.72326729999999)"
Texas,Kinney,0,0,0,0,0,0,0,0,2,0,0,0,19.0,0.0,17.0,0.0,3667.0,54.5,0.0,2,3,0,29.2934865,-100.3497895,"(29.2934865, -100.3497895)"
Texas,Val Verde,0,0,0,0,0,0,2,0,2,0,0,0,1693.0,49.0,1581.0,49.0,49025.0,228.40000000000006,0.0,4,0,0,29.8687682,-101.1617356,"(29.8687682, -101.1617356)"
Texas,Terrell,0,0,0,0,0,0,1,0,4,0,0,0,2.0,0.0,2.0,0.0,776.0,0.0,0.0,5,3,0,30.2348611,-102.1632718,"(30.2348611, -102.1632718)"
Texas,Pecos,0,0,0,0,0,0,1,0,0,0,0,0,249.0,1.0,222.0,1.0,15823.0,170.70000000000005,0.0,1,3,0,30.8253214,-102.6216211,"(30.8253214, -102.6216211)"
Texas,Reeves,0,0,0,0,0,0,0,0,0,0,0,0,148.0,5.0,141.0,3.0,15976.0,43.79999999999996,12.518778167250876,0,3,0,31.4307975,-103.7289167,"(31.4307975, -103.7289167)"
Texas,Walker,0,0,0,0,0,1,3,1,4,0,0,0,3074.0,41.0,2842.0,38.0,72971.0,317.9000000000005,4.111222266379794,7,0,0,30.6815394,-95.6457951,"(30.6815394, -95.6457951)"
