storm_id,year,name,iso_time,latitude,longitude,dist2land(km),landfall(km),usa_status,usa_wind,storm_category,storm_speed(knots),geometry,state,county
1851175N26270,1851,NOT_NAMED,1851-06-26 00:00:00,28.1667,-96.8,0,0.0,HU,70.0,1.0,5.0,POINT (-96.8 28.1667),Texas,Calhoun
1851175N26270,1851,NOT_NAMED,1851-06-26 03:00:00,28.2265,-97.0793,0,0.0,HU,65.0,1.0,5.0,POINT (-97.0793 28.2265),Texas,Refugio
1851175N26270,1851,NOT_NAMED,1851-06-26 06:00:00,28.3,-97.4,0,0.0,TS,60.0,0.0,6.0,POINT (-97.40000000000001 28.3),Texas,Refugio
1851175N26270,1851,NOT_NAMED,1851-06-26 09:00:00,28.3617,-97.7476,0,0.0,TS,60.0,0.0,6.0,POINT (-97.74760000000001 28.3617),Texas,Bee
1851175N26270,1851,NOT_NAMED,1851-06-26 12:00:00,28.4333,-98.1,0,0.0,TS,60.0,0.0,6.0,POINT (-98.09999999999999 28.4333),Texas,Live Oak
1851175N26270,1851,NOT_NAMED,1851-06-26 15:00:00,28.5158,-98.4268,0,0.0,TS,55.0,0.0,6.0,POINT (-98.4268 28.5158),Texas,McMullen
1851175N26270,1851,NOT_NAMED,1851-06-26 18:00:00,28.6333,-98.7333,0,0.0,TS,50.0,0.0,6.0,POINT (-98.7333 28.6333),Texas,McMullen
1851175N26270,1851,NOT_NAMED,1851-06-26 21:00:00,28.7966,-99.0267,0,0.0,TS,50.0,0.0,6.0,POINT (-99.02670000000001 28.7966),Texas,Frio
1851175N26270,1851,NOT_NAMED,1851-06-27 00:00:00,29.0,-99.3,0,0.0,TS,50.0,0.0,6.0,POINT (-99.3 29),Texas,Frio
1851175N26270,1851,NOT_NAMED,1851-06-27 03:00:00,29.2258,-99.565,0,0.0,TS,45.0,0.0,6.0,POINT (-99.565 29.2258),Texas,Uvalde
1851175N26270,1851,NOT_NAMED,1851-06-27 06:00:00,29.4727,-99.8,0,0.0,TS,40.0,0.0,6.0,POINT (-99.8 29.4727),Texas,Uvalde
1851175N26270,1851,NOT_NAMED,1851-06-27 09:00:00,29.7205,-99.968,0,0.0,TS,40.0,0.0,6.0,POINT (-99.968 29.7205),Texas,Real
1851175N26270,1851,NOT_NAMED,1851-06-27 12:00:00,29.9778,-100.056,0,0.0,TS,40.0,0.0,5.0,POINT (-100.056 29.9778),Texas,Edwards
1851175N26270,1851,NOT_NAMED,1851-06-27 15:00:00,30.25,-100.05799999999999,0,0.0,TS,40.0,0.0,5.0,POINT (-100.058 30.25),Texas,Edwards
1851175N26270,1851,NOT_NAMED,1851-06-27 18:00:00,30.5,-100.1,0,0.0,TS,40.0,0.0,5.0,POINT (-100.1 30.5),Texas,Kimble
1851175N26270,1851,NOT_NAMED,1851-06-27 21:00:00,30.75,-100.147,0,0.0,TS,40.0,0.0,5.0,POINT (-100.147 30.75),Texas,Schleicher
1851228N13313,1851,NOT_NAMED,1851-08-24 00:00:00,30.4333,-85.2,0,0.0,HU,90.0,2.0,12.0,POINT (-85.2 30.4333),Florida,Calhoun
1851228N13313,1851,NOT_NAMED,1851-08-24 03:00:00,30.8485,-84.7902,0,0.0,HU,80.0,1.0,11.0,POINT (-84.7902 30.8485),Georgia,Seminole
1851228N13313,1851,NOT_NAMED,1851-08-24 06:00:00,31.2333,-84.4,0,0.0,HU,70.0,1.0,10.0,POINT (-84.40000000000001 31.2333),Georgia,Baker
1851228N13313,1851,NOT_NAMED,1851-08-24 09:00:00,31.6535,-84.018,0,0.0,HU,65.0,1.0,11.0,POINT (-84.018 31.6535),Georgia,Worth
1851228N13313,1851,NOT_NAMED,1851-08-24 12:00:00,32.1,-83.5333,0,0.0,TS,60.0,0.0,14.0,POINT (-83.5333 32.1),Georgia,Wilcox
1851228N13313,1851,NOT_NAMED,1851-08-24 15:00:00,32.5863,-82.8213,0,0.0,TS,55.0,0.0,16.0,POINT (-82.82129999999999 32.5863),Georgia,Laurens
1851228N13313,1851,NOT_NAMED,1851-08-24 18:00:00,33.0667,-82.0333,0,0.0,TS,50.0,0.0,15.0,POINT (-82.0333 33.0667),Georgia,Burke
1851228N13313,1851,NOT_NAMED,1851-08-24 21:00:00,33.4873,-81.3609,0,0.0,TS,45.0,0.0,14.0,POINT (-81.3609 33.4873),South Carolina,Barnwell
1851228N13313,1851,NOT_NAMED,1851-08-25 00:00:00,33.9,-80.6667,0,0.0,TS,40.0,0.0,15.0,POINT (-80.66670000000001 33.9),South Carolina,Richland
1851228N13313,1851,NOT_NAMED,1851-08-25 03:00:00,34.3373,-79.8626,0,0.0,TS,40.0,0.0,16.0,POINT (-79.8626 34.3373),South Carolina,Darlington
1851228N13313,1851,NOT_NAMED,1851-08-25 06:00:00,34.8,-79.0,0,0.0,TS,40.0,0.0,17.0,POINT (-79 34.8),North Carolina,Robeson
1851228N13313,1851,NOT_NAMED,1851-08-25 09:00:00,35.2916,-78.1405,0,0.0,TS,40.0,0.0,18.0,POINT (-78.1405 35.2916),North Carolina,Wayne
1851228N13313,1851,NOT_NAMED,1851-08-25 12:00:00,35.8,-77.2333,0,0.0,TS,40.0,0.0,18.0,POINT (-77.2333 35.8),North Carolina,Martin
1851228N13313,1851,NOT_NAMED,1851-08-25 15:00:00,36.2999,-76.2327,0,0.0,TS,40.0,0.0,19.0,POINT (-76.23269999999999 36.2999),North Carolina,Pasquotank
