storm_id,year,name,iso_time,nature,latitude,longitude,wmo_wind(knots),wmo_pressure(mb),wmo_agency,dist2land(km),landfall(km),usa_lat,usa_lon,usa_status,usa_wind,usa_pres,storm_category,sea_height(ft),storm_speed(knots),storm_direction(degrees)
1851175N26270,1851,NOT_NAMED,1851-06-25 21:00:00,TS,28.1333,-96.5667,80,,hurdat_atl,22,0.0,28.2000,-96.8000,hurricane,80,,1.0,,5,286
1851175N26270,1851,NOT_NAMED,1851-06-26 00:00:00,TS,28.1667,-96.8,70,,hurdat_atl,0,0.0,28.2000,-97.0000,hurricane,70,,1.0,,5,282
1851175N26270,1851,NOT_NAMED,1851-06-26 03:00:00,TS,28.2265,-97.0793,,,,0,0.0,28.2398,-97.2727,hurricane,65,,1.0,,5,284
1851175N26270,1851,NOT_NAMED,1851-06-26 06:00:00,TS,28.3,-97.4,60,,hurdat_atl,0,0.0,28.3000,-97.6000,tropical storm,60,,0.0,,6,283
1851175N26270,1851,NOT_NAMED,1851-06-26 09:00:00,TS,28.3617,-97.7476,,,,0,0.0,28.3425,-97.9501,tropical storm,60,,0.0,,6,282
1851175N26270,1851,NOT_NAMED,1851-06-26 12:00:00,TS,28.4333,-98.1,60,,hurdat_atl,0,0.0,28.4000,-98.3000,tropical storm,60,,0.0,,6,284
1851175N26270,1851,NOT_NAMED,1851-06-26 15:00:00,TS,28.5158,-98.4268,,,,0,0.0,28.4774,-98.6151,tropical storm,55,,0.0,,6,290
1851175N26270,1851,NOT_NAMED,1851-06-26 18:00:00,TS,28.6333,-98.7333,50,,hurdat_atl,0,0.0,28.6000,-98.9000,tropical storm,50,,0.0,,6,298
1851175N26270,1851,NOT_NAMED,1851-06-26 21:00:00,TS,28.7966,-99.0267,,,,0,0.0,28.7774,-99.1650,tropical storm,50,,0.0,,6,306
1851175N26270,1851,NOT_NAMED,1851-06-27 00:00:00,TS,29.0,-99.3,50,,hurdat_atl,0,0.0,29.0000,-99.4000,tropical storm,50,,0.0,,6,312
1851175N26270,1851,NOT_NAMED,1851-06-27 03:00:00,TS,29.2258,-99.565,,,,0,0.0,29.2425,-99.6225,tropical storm,45,,0.0,,6,317
1851175N26270,1851,NOT_NAMED,1851-06-27 06:00:00,TS,29.4727,-99.8,40,,hurdat_atl,0,0.0,29.5000,-99.8000,tropical storm,40,,0.0,,6,325
1851175N26270,1851,NOT_NAMED,1851-06-27 09:00:00,TS,29.7205,-99.968,,,,0,0.0,29.7500,-99.9226,tropical storm,40,,0.0,,6,336
1851175N26270,1851,NOT_NAMED,1851-06-27 12:00:00,TS,29.9778,-100.056,40,,hurdat_atl,0,0.0,30.0000,-100.000,tropical storm,40,,0.0,,5,352
1851175N26270,1851,NOT_NAMED,1851-06-27 15:00:00,TS,30.25,-100.058,,,,0,0.0,30.2500,-100.058,tropical storm,40,,0.0,,5,356
1851175N26270,1851,NOT_NAMED,1851-06-27 18:00:00,TS,30.5,-100.1,40,,hurdat_atl,0,0.0,30.5000,-100.100,tropical storm,40,,0.0,,5,351
1851175N26270,1851,NOT_NAMED,1851-06-27 21:00:00,TS,30.75,-100.147,,,,0,0.0,30.7500,-100.147,tropical storm,40,,0.0,,5,350
1851228N13313,1851,NOT_NAMED,1851-08-23 21:00:00,TS,29.9333,-85.6666,100,,hurdat_atl,22,0.0,30.1000,-85.7000,hurricane,100,,3.0,,12,37
1851228N13313,1851,NOT_NAMED,1851-08-24 00:00:00,TS,30.4333,-85.2,90,,hurdat_atl,0,0.0,30.7000,-85.1000,hurricane,90,,2.0,,12,40
1851228N13313,1851,NOT_NAMED,1851-08-24 03:00:00,TS,30.8485,-84.7902,,,,0,0.0,31.1803,-84.5853,hurricane,80,,1.0,,11,41
1851228N13313,1851,NOT_NAMED,1851-08-24 06:00:00,TS,31.2333,-84.4,70,,hurdat_atl,0,0.0,31.6000,-84.1000,hurricane,70,,1.0,,10,39
1851228N13313,1851,NOT_NAMED,1851-08-24 09:00:00,TS,31.6535,-84.018,,,,0,0.0,32.0493,-83.5940,hurricane,65,,1.0,,11,40
